,날짜,팀1,팀1 점수,팀2,팀2 점수,승패여부
0,06.01,한화,13,롯데,6,1
1,06.02,한화,3,롯데,2,1
2,06.03,한화,0,롯데,6,0
3,06.05,한화,3,LG,7,0
4,06.06,한화,5,LG,1,1
5,06.07,한화,5,LG,6,0
6,06.08,SK,5,한화,7,1
7,06.09,SK,4,한화,2,0
8,06.10,SK,3,한화,4,1
9,06.12,한화,6,넥센,2,1
10,06.13,한화,2,넥센,4,0
11,06.14,한화,9,넥센,8,1
12,06.15,두산,13,한화,4,0
13,06.16,두산,8,한화,3,0
14,06.17,두산,6,한화,11,1
15,06.19,LG,4,한화,0,0
16,06.20,LG,7,한화,11,1
17,06.21,LG,6,한화,9,1
18,06.22,한화,5,NC,0,1
19,06.23,한화,8,NC,1,1
20,06.24,한화,5,NC,3,1
21,06.26,삼성,13,한화,2,0
22,06.27,삼성,0,한화,4,1
23,06.28,삼성,3,한화,8,1
24,06.29,롯데,2,한화,5,1
25,06.30,롯데,5,한화,6,1
26,07.03,한화,2,KIA,9,0
27,07.04,한화,4,KIA,6,0
28,07.05,한화,8,KIA,2,1
29,07.06,한화,0,SK,6,0
30,07.07,한화,4,SK,5,0
31,07.08,한화,5,SK,2,1
32,07.10,넥센,1,한화,4,1
33,07.11,넥센,22,한화,8,0
34,07.12,넥센,1,한화,4,1
35,07.17,한화,8,KT,1,1
36,07.18,한화,2,KT,4,0
37,07.19,한화,7,KT,8,0
38,07.20,한화,1,삼성,0,1
39,07.21,한화,3,삼성,4,0
40,07.22,한화,4,삼성,5,0
41,07.24,KIA,0,한화,5,1
42,07.25,KIA,11,한화,3,0
43,07.26,KIA,3,한화,6,1
44,07.27,한화,16,두산,7,1
45,07.28,한화,6,두산,13,0
46,07.29,한화,1,두산,3,0
47,07.31,KT,5,한화,4,0
48,08.01,KT,3,한화,4,1
49,08.02,KT,3,한화,5,1
50,08.04,NC,7,한화,5,0
51,08.05,NC,10,한화,8,0
52,08.07,한화,4,두산,6,0
53,08.08,한화,8,두산,2,1
54,08.09,넥센,16,한화,5,0
55,08.10,넥센,9,한화,4,0
56,08.11,KT,3,한화,5,1
57,08.12,KT,4,한화,5,1
58,08.14,한화,4,롯데,9,0
59,08.16,한화,2,삼성,5,0
60,09.04,롯데,4,한화,6,1
61,09.05,롯데,5,한화,11,1
62,09.06,한화,9,KT,2,1
63,09.07,한화,4,KT,12,0
64,09.08,한화,1,LG,5,0
65,09.09,한화,5,LG,8,0
66,09.11,한화,8,삼성,7,1
67,09.12,한화,7,삼성,3,1
68,09.13,SK,2,한화,1,0
69,09.14,SK,7,한화,5,0
70,09.15,LG,12,한화,4,0
71,09.16,LG,1,한화,5,1
72,09.18,한화,3,NC,10,0
73,09.19,한화,7,NC,4,1
74,09.20,한화,8,SK,2,1
75,09.21,한화,4,SK,5,0
76,09.22,KIA,11,한화,5,0
77,09.23,KIA,6,한화,8,1
78,09.25,삼성,8,한화,1,0
79,09.26,삼성,4,한화,8,1
80,09.27,두산,6,한화,9,1
81,09.28,두산,4,한화,5,1
82,09.29,한화,3,KIA,4,0
83,09.30,한화,4,KIA,6,0
