,ground,place,date,startTime,12,15,18
0,문학,0,06.01(토),17,68,70,67
1,문학,0,06.02(일),17,71,72,71
2,울산,옥동,06.04(화),18,76,78,75
3,울산,옥동,06.05(수),18,77,75,74
4,울산,옥동,06.06(목),14,76,76,77
5,대전,부사동,06.07(금),18,68,70,71
6,대전,부사동,06.08(토),17,72,74,74
7,대전,부사동,06.09(일),17,74,74,73
8,대전,부사동,06.11(화),18,71,72,71
9,대전,부사동,06.12(수),18,72,74,74
10,대전,부사동,06.13(목),18,75,76,74
11,고척,고척제1동,06.14(금),18,71,74,72
12,고척,고척제1동,06.15(토),17,71,73,73
13,고척,고척제1동,06.16(일),17,72,73,70
14,대전,부사동,06.18(화),18,77,77,75
15,대전,부사동,06.19(수),18,75,77,75
16,대전,부사동,06.20(목),18,74,77,76
17,대전,부사동,06.21(금),18,75,78,77
18,대전,부사동,06.22(토),17,75,77,76
19,대전,부사동,06.23(일),17,75,77,76
20,창원,양덕2동,06.25(화),18,74,73,72
21,창원,양덕2동,06.27(목),18,75,75,75
22,대전,부사동,06.28(금),18,75,78,77
23,대전,부사동,06.30(일),17,77,78,75
24,잠실,잠실2동,07.02(화),18,74,76,74
25,잠실,잠실2동,07.03(수),18,76,76,75
26,잠실,잠실2동,07.04(목),18,76,77,76
27,대전,부사동,07.05(금),18,78,80,80
28,대전,부사동,07.06(토),18,77,80,78
29,대전,부사동,07.07(일),18,74,76,76
30,대전,부사동,07.09(화),18,75,79,76
31,대전,부사동,07.11(목),18,75,75,75
32,광주,임동,07.12(금),18,75,77,75
33,광주,임동,07.13(토),18,75,77,77
34,광주,임동,07.14(일),18,78,79,78
35,청주,사직1동,07.16(화),18,77,81,77
36,청주,사직1동,07.17(수),18,78,80,72
37,청주,사직1동,07.18(목),18,77,78,76
38,대구,고산2동,07.26(금),18,82,84,82
39,대구,고산2동,07.27(토),18,84,82,81
40,대구,고산2동,07.28(일),18,82,81,81
41,수원,조원1동,07.30(화),18,79,81,79
42,수원,조원1동,07.31(수),18,79,79,80
43,수원,조원1동,08.01(목),18,79,81,80
44,대전,부사동,08.03(토),18,85,84,84
45,대전,부사동,08.04(일),17,85,88,84
46,잠실,잠실2동,08.06(화),18,83,84,84
47,잠실,잠실2동,08.07(수),18,81,83,82
48,광주,임동,08.08(목),18,84,84,82
49,광주,임동,08.09(금),18,84,84,83
50,수원,조원1동,08.10(토),18,84,84,82
51,수원,조원1동,08.11(일),17,80,83,81
52,대전,부사동,08.13(화),18,85,86,88
53,대전,부사동,08.14(수),18,87,86,85
54,사직,사직제2동,08.15(목),18,81,85,85
55,사직,사직제2동,08.16(금),18,83,84,82
56,고척,고척제1동,08.17(토),18,78,78,78
57,고척,고척제1동,08.18(일),17,77,78,76
58,대전,부사동,08.20(화),18,81,82,81
59,문학,0,08.22(목),18,78,76,77
60,문학,0,08.23(금),18,76,78,74
61,대전,부사동,08.24(토),18,74,77,76
62,대전,부사동,08.25(일),17,77,78,78
63,청주,사직1동,08.27(화),18,75,76,75
64,청주,사직1동,08.28(수),18,76,77,75
65,잠실,잠실2동,08.30(금),18,72,74,73
66,대전,부사동,08.31(토),18,75,76,74
67,대전,부사동,09.01(일),14,76,77,74
68,대전,부사동,09.03(화),18,75,75,74
69,대전,부사동,09.04(수),18,79,79,76
70,창원,양덕2동,09.05(목),18,77,77,75
71,창원,양덕2동,09.06(금),19,77,79,77
72,대전,부사동,09.07(토),17,83,83,79
73,대전,부사동,09.08(일),14,79,80,78
74,청주,사직1동,09.10(화),18,80,80,78
75,청주,사직1동,09.11(수),18,77,77,75
76,대구,고산2동,09.13(금),14,74,74,71
77,대전,부사동,09.14(토),17,75,78,77
78,대전,부사동,09.15(일),14,78,80,78
79,대구,고산2동,09.16(월),18,75,74,71
80,대전,부사동,09.17(화),18,73,76,75
81,대전,부사동,09.20(금),18,69,70,69
82,잠실,잠실2동,09.23(월),18,68,69,68
83,창원,양덕2동,09.25(수),18,68,68,66
84,창원,양덕2동,09.26(목),18,73,72,69
85,잠실,잠실2동,09.28(토),17,73,74,73
86,대전,부사동,09.29(일),14,75,76,74
87,대전,부사동,09.30(월),18,75,77,74
