Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2019-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.258,0.3,0.402,0.702,19,1.13,-1.02,-0.115
1,2019-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.298,0.4,0.698,1,1.8,-0.18,-0.045
2,2019-06-05,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0.261,0.3,0.402,0.702,19,1.71,-0.68,-0.077
3,2019-06-06,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.257,0.3,0.396,0.696,21,0.91,-0.74,-0.048
4,2019-06-07,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.255,0.297,0.392,0.689,8,0.95,-0.2,0.007
5,2019-06-08,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.25,0.291,0.385,0.676,14,2.13,-1.55,-0.216
6,2019-06-09,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0.254,0.294,0.385,0.679,21,1.22,-0.38,-0.088
7,2019-06-25,1,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0.252,0.295,0.381,0.676,21,0.74,-0.68,-0.097
8,2019-06-27,1,2,1,0,0,3,1,0,0,0,0,0,1,0,0,1,0.257,0.297,0.387,0.684,14,1.08,-0.6,-0.033
9,2019-06-28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.252,0.292,0.381,0.673,15,2.07,-1.05,-0.168
10,2019-06-30,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.252,0.291,0.378,0.67,14,1.38,0.03,-0.021
11,2019-07-02,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.256,0.295,0.385,0.679,8,0.43,0.47,0.008
12,2019-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0.29,0.378,0.668,12,0.66,-0.88,-0.066
13,2019-07-04,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.253,0.293,0.378,0.671,13,1.07,-0.08,-0.06
14,2019-07-05,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.253,0.293,0.388,0.681,12,0.7,0.16,0.018
15,2019-07-06,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.256,0.295,0.388,0.683,11,3.15,0.35,0.116
16,2019-07-07,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.259,0.297,0.388,0.685,17,1.83,-0.01,0.053
17,2019-07-09,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.258,0.295,0.385,0.68,11,1.42,0.18,0.202
18,2019-07-11,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.261,0.298,0.386,0.684,11,0.88,0.5,0.05
19,2019-07-12,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.261,0.297,0.384,0.682,19,0.74,-0.42,-0.007
20,2019-07-13,2,3,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0.267,0.302,0.388,0.691,10,0.59,0.28,0.02
21,2019-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.297,0.381,0.679,16,1.27,-1.44,-0.174
22,2019-07-16,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0.27,0.303,0.387,0.69,18,1.41,1.16,0.135
23,2019-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.3,0.382,0.683,8,0.28,-0.56,-0.022
24,2019-07-18,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.264,0.3,0.378,0.678,18,1.4,-0.05,-0.02
25,2019-07-26,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.264,0.301,0.377,0.678,16,1.07,-0.45,-0.06
26,2019-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.297,0.37,0.667,14,1.34,-2.01,-0.178
27,2019-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0.294,0.367,0.66,6,0.77,-0.76,-0.057
28,2019-07-30,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.257,0.293,0.365,0.658,11,1.69,-0.88,-0.125
29,2019-07-31,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0.257,0.294,0.365,0.658,7,1.15,-0.01,0.095
30,2019-08-01,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.257,0.293,0.363,0.656,14,0.9,-1.23,-0.094
31,2019-08-03,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.257,0.293,0.362,0.654,9,0.74,-0.34,-0.035
32,2019-08-04,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0.263,0.298,0.367,0.665,9,0.85,2.27,0.119
33,2019-08-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.261,0.295,0.363,0.659,11,0.52,-0.55,-0.04
34,2019-08-07,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.261,0.295,0.362,0.657,13,1.07,-0.47,-0.027
35,2019-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.258,0.291,0.358,0.649,13,1.55,-2.49,-0.251
36,2019-08-09,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.257,0.291,0.356,0.647,22,0.75,-0.46,-0.063
37,2019-08-10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.257,0.291,0.355,0.646,14,1.0,-0.22,-0.079
38,2019-08-11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.255,0.29,0.352,0.642,15,0.48,-0.5,-0.036
39,2019-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0.287,0.348,0.635,11,0.78,-0.98,-0.083
40,2019-08-14,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.257,0.291,0.351,0.643,22,0.38,0.72,0.03
41,2019-08-15,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.261,0.294,0.354,0.648,6,1.63,1.0,0.107
42,2019-08-16,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.261,0.294,0.356,0.649,11,1.0,0.61,0.13
43,2019-08-17,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.262,0.295,0.365,0.66,24,0.44,0.61,0.054
44,2019-08-18,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.262,0.296,0.363,0.66,17,0.72,1.22,0.097
45,2019-08-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.261,0.295,0.361,0.656,8,0.96,-0.56,-0.044
46,2019-08-22,2,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.263,0.296,0.365,0.661,22,0.98,0.81,0.072
47,2019-08-23,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.26,0.293,0.361,0.654,13,1.58,-1.67,-0.193
48,2019-08-24,2,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0.263,0.296,0.366,0.662,9,0.63,0.46,-0.014
49,2019-08-25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.261,0.294,0.363,0.657,17,1.05,-0.63,-0.08
50,2019-08-27,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.262,0.296,0.363,0.659,19,0.67,-0.77,-0.087
51,2019-08-28,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.262,0.295,0.362,0.657,15,1.0,-1.24,-0.11
52,2019-08-30,0,1,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0.262,0.296,0.364,0.66,13,1.67,0.14,0.025
53,2019-08-31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.26,0.294,0.361,0.655,8,1.06,-0.97,-0.089
54,2019-09-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.258,0.291,0.358,0.648,10,0.59,-0.81,-0.059
55,2019-09-06,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.26,0.293,0.359,0.652,19,0.88,-0.59,-0.052
56,2019-09-07,2,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0.262,0.296,0.363,0.659,18,0.92,1.54,0.07
57,2019-09-08,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.26,0.294,0.36,0.654,11,1.32,-0.95,-0.096
58,2019-09-10,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.262,0.295,0.361,0.656,13,0.76,-0.02,0.007
59,2019-09-11,1,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0.266,0.299,0.366,0.665,4,1.56,2.93,0.188
60,2019-09-14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.267,0.3,0.368,0.668,4,1.32,0.84,0.05
61,2019-09-15,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.267,0.3,0.366,0.666,12,1.29,-1.56,-0.169
62,2019-09-16,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.268,0.304,0.367,0.671,15,0.72,0.71,0.011
63,2019-09-17,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.269,0.304,0.367,0.671,9,0.99,-0.56,-0.04
64,2019-09-20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.267,0.303,0.364,0.668,23,0.8,-0.52,-0.055
65,2019-09-23,0,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0.268,0.305,0.365,0.669,16,0.31,-0.78,-0.042
66,2019-09-25,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.268,0.304,0.364,0.668,10,1.2,-1.0,-0.098
67,2019-09-26,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.268,0.303,0.363,0.666,11,1.71,-0.08,-0.012
68,2019-09-28,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.268,0.302,0.362,0.663,21,1.56,-0.61,-0.021
69,2019-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0.3,0.359,0.659,10,0.86,-0.48,-0.064
70,2019-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0.298,0.357,0.655,7,1.01,-0.89,-0.083
