,날짜,시작시간,불쾌지수
0,06.02,18,74
1,06.03,18,76
2,06.04,18,77
3,06.05,18,76
4,06.06,14,79
5,06.07,17,79
6,06.09,18,75
7,06.10,18,74
8,06.11,18,76
9,06.12,18,77
10,06.13,17,78
11,06.14,17,76
12,06.16,18,77
13,06.17,18,73
14,06.18,18,71
15,06.19,18,71
16,06.20,17,73
17,06.21,17,74
18,06.23,18,78
19,06.24,18,72
20,06.25,18,76
21,06.26,18,76
22,06.27,17,78
23,06.28,17,79
24,07.01,18,73
25,07.02,18,74
26,07.03,18,75
27,07.04,18,75
28,07.05,17,74
29,07.07,18,77
30,07.08,18,79
31,07.09,18,80
32,07.10,18,76
33,07.11,18,78
34,07.13,18,69
35,07.14,18,68
36,07.15,18,73
37,07.16,18,75
38,07.17,18,78
39,07.18,18,78
40,07.19,17,75
41,07.21,18,79
42,07.22,18,76
43,07.24,18,73
44,07.26,17,79
45,07.27,18,76
46,07.29,18,78
47,07.30,18,79
48,07.31,18,80
49,08.01,18,78
50,08.05,18,81
51,08.06,18,78
52,08.09,17,81
53,08.11,18,79
54,08.12,18,80
55,08.13,18,80
56,08.14,18,82
57,08.15,17,86
58,08.16,17,84
59,08.18,18,77
60,08.19,18,77
61,08.20,18,84
62,08.21,18,83
63,08.23,17,80
64,08.24,18,81
65,08.25,18,81
66,08.26,18,79
67,08.27,18,82
68,08.29,18,81
69,08.30,17,84
70,09.01,18,80
71,09.03,18,74
72,09.04,18,75
73,09.05,17,76
74,09.06,14,73
75,09.08,18,76
76,09.09,15,78
77,09.09,18,75
78,09.10,18,74
79,09.11,18,72
80,09.12,17,69
81,09.13,14,71
82,09.15,18,74
83,09.16,18,74
84,09.17,18,70
85,09.18,18,70
86,09.19,17,72
87,09.20,14,72
88,09.22,18,69
89,09.23,18,68
90,09.24,18,69
91,09.25,18,71
92,09.26,17,72
93,09.27,14,71
94,09.29,18,68
95,09.30,14,71
